App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
2849080,Kingdom Rush 5: Alliance TD,"Jul 25, 2024",Very Positive,"| 3,431 User Reviews",NT$ 295.00,"['Strategy', 'Tower Defense', '2D', 'Cartoon', 'Cartoony', 'Dragons', 'Building', 'Singleplayer', 'Fantasy', 'Funny', 'Medieval', 'Indie', 'Action', 'Adventure', 'Comedy', 'Magic', 'Dark']",tower_defense,2024-08-05 12:10
1422440,Cataclismo,"Jul 22, 2024",Very Positive,"| 1,514 User Reviews",NT$ 559.00,"['Strategy', 'Base Building', 'Simulation', 'City Builder', 'Management', 'Sandbox', 'Building', 'Resource Management', 'Grand Strategy', 'Historical', 'Colony Sim', 'Tower Defense', 'Open World', 'Dark Fantasy', 'Singleplayer', 'Moddable', '4X', 'Economy', 'RTS', 'Early Access']",tower_defense,2024-08-05 12:10
960090,Bloons TD 6,"Dec 18, 2018",Overwhelmingly Positive,"| 283,468 User Reviews",NT$ 124.00,"['Tower Defense', 'Strategy', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Co-op', 'Family Friendly', 'Casual', '3D', 'Cartoony', 'Sandbox', 'Great Soundtrack', 'Difficult', 'Funny', 'Cute', 'Survival', 'Action', 'Indie', '2D', 'Adventure']",tower_defense,2024-08-05 12:10
2510710,Kunitsu-Gami: Path of the Goddess,"Jul 19, 2024",Very Positive,| 725 User Reviews,"NT$ 1,560.00","['Action', 'Strategy', 'Tower Defense', '3D', 'Mythology', 'Lore-Rich', 'Supernatural', 'Hack and Slash', 'Singleplayer']",tower_defense,2024-08-05 12:10
780310,The Riftbreaker,"Oct 14, 2021",Very Positive,"| 15,389 User Reviews",NT$ 268.00,"['Base Building', 'Tower Defense', 'Survival', 'Strategy', 'Hack and Slash', 'Crafting', 'Resource Management', 'Sci-fi', 'Building', 'Action RPG', 'Exploration', 'Adventure', 'RPG', 'Isometric', 'Simulation', 'Loot', 'Sandbox', 'Mechs', 'Action', 'Atmospheric']",tower_defense,2024-08-05 12:10
2459550,Emberward,"Jun 25, 2024",Overwhelmingly Positive,| 796 User Reviews,NT$ 268.00,"['Tower Defense', 'Strategy', 'Roguelite', 'Base Building', 'Deckbuilding', 'RTS', 'Roguelike', 'Singleplayer', 'Tactical', '3D', 'Indie', 'Colorful', 'Cartoony', 'Building', 'Fantasy', 'Magic', 'Resource Management', 'Top-Down', 'Procedural Generation', 'Roguelike Deckbuilder']",tower_defense,2024-08-05 12:10
1018830,Element TD 2 - Tower Defense,"Apr 2, 2021",Very Positive,"| 2,459 User Reviews",NT$ 132.00,"['Tower Defense', 'Real Time Tactics', 'Multiplayer', 'Fantasy', 'Strategy', 'PvE', 'PvP', 'Team-Based', 'Competitive', 'Character Customization', 'RTS', '3D', 'Tactical', 'Score Attack', 'Building', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Replay Value', 'Indie']",tower_defense,2024-08-05 12:10
469600,Legion TD 2 - Multiplayer Tower Defense,"Oct 1, 2021",Very Positive,"| 10,175 User Reviews",NT$ 199.00,"['Tower Defense', 'Multiplayer', 'Auto Battler', 'Strategy', 'PvP', 'Replay Value', 'Competitive', 'PvE', 'Online Co-Op', 'Co-op', 'Base Building', 'Resource Management', 'Fantasy', 'Sci-fi', 'Magic', '3D', 'Mechs', 'Survival', '2D', 'Medieval']",tower_defense,2024-08-05 12:10
1367550,Kingdom Rush Vengeance - Tower Defense,"Oct 15, 2020",Very Positive,"| 7,793 User Reviews",NT$ 222.00,"['Tower Defense', 'Strategy', 'Singleplayer', '2D', 'Difficult', 'Medieval', 'Choices Matter', 'Cartoon', 'Adventure', 'Demons', 'Action', 'Action-Adventure', 'Colorful', 'Fantasy', 'Cartoony', 'Dark', 'Family Friendly', 'Tactical RPG', '2D Fighter', 'Trading Card Game']",tower_defense,2024-08-05 12:10
2224640,Artisan TD,"Jul 22, 2024",Very Positive,"| 1,213 User Reviews",NT$ 269.00,"['Tower Defense', 'Strategy', 'Difficult', 'Puzzle', 'Building', 'Tactical', 'Real Time Tactics', 'Fantasy', 'Singleplayer', 'Stylized', 'Top-Down', '3D', 'Management', 'Turn-Based Tactics', 'Indie']",tower_defense,2024-08-05 12:10
2239150,Thronefall,"Aug 2, 2023",Overwhelmingly Positive,"| 14,018 User Reviews",NT$ 159.00,"['Tower Defense', 'Strategy', 'City Builder', 'Minimalist', 'Medieval', 'Action', 'Action RTS', '3D', 'Building', 'Colorful', 'Isometric', 'Base Building', 'Stylized', 'Fantasy', 'Combat', 'Singleplayer', 'Controller', 'Indie', 'Early Access', 'Hack and Slash']",tower_defense,2024-08-05 12:10
1637320,Dome Keeper,"Sep 27, 2022",Very Positive,"| 10,914 User Reviews",NT$ 119.00,"['Singleplayer', 'Post-apocalyptic', 'Roguelike', 'Action', 'Sci-fi', 'Combat', 'Resource Management', 'Atmospheric', 'Space', 'Physics', 'Retro', 'Procedural Generation', 'Replay Value', 'Exploration', 'Controller', 'Pixel Graphics', '2D', 'Tower Defense', 'Tactical', 'Adventure']",tower_defense,2024-08-05 12:10
